course_prefix,course_number,course_title,course_desc,num_units,dept_name,inst_ipeds,metadata
AJ,101,Intro to Admin of Justice,"This course focuses on history, philosophy, and language of the criminal justice system. The role of law enforcement, prosecutor, public defender, courts, and corrections is examined. Social aspects of change and how it affects the criminal justice system also explored. Offered in conjunction with Hawaiʻi Community College.",3,Administration of Justice,141565,attributes: DS; prerequisites: Placement in ENG  100
AJ,103,Criminal Investigations I,"This is an introductory course in criminal investigations. The nature of investigations, fingerprint classification, the role of the laboratory, and specific offense investigation will be explored.  The class will also discuss interview and interrogation and search and seizure techniques.",3,Administration of Justice,141565,offered_with: Hawaiʻi Community College; prerequisites: Placement in ENG 100
AJ,104,CSI: Violent Crime Forensics,"Advanced course work in forensic science (Legal Scientific Investigation), with its contributions to both Crime Scene Investigations and Laboratory Analysis. Specific field and laboratory investigative techniques in violent crimes and other major felonies will be explored.",3,Administration of Justice,141565,course_name: CSI: Violent Crime Forensics; course_number: AJ 104; offered_with: Hawaiʻi Community College; prerequisites: AJ 103
AJ,150,The Correctional Process,"This course examines the history of punishment and corrections.  The class discusses laws, records, inmate classification, treatment programs, disciplinary procedures and supervisory techniques.",3,Administration of Justice,141565,course_name: The Correctional Process; course_number: AJ 150; offered_with: Hawaiʻi Community College
AJ,170,Intro to Private Security,"This course surveys the concepts and issues in the administration of security. Defines public versus private security roles for retail business, industry, and governmental agencies. Provides an overview of the functions of various security activities.",3,Administration of Justice,141565,course_name: Intro to Private Security; course_number: AJ 170; offered_with: Hawaiʻi Community College; prerequisites: placement in ENG 100
AJ,180,Intro to Homeland Security,"An examination of the history of terrorism, focusing on the terrorists, who they are, and how they operate. Responses to domestic and international terrorism will be discussed along with analyzing future trends.",3,Administration of Justice,141565,course_number: AJ 180; course_title: Intro to Homeland Security; offered_with: Hawaiʻi Community College; prerequisites: AJ 101
AJ,208,Criminology,"This course explores crime and the body of knowledge regarding it as a social phenomenon. An emphasis is placed on the analysis of crime, crime causation, crime variables, impact on society, and societal reactions to crime.",3,Administration of Justice,141565,Offered with: Hawaiʻi Community College; Prerequisites: placement in ENG 100
AJ,210,Juvenile Justice,"This course focuses on principles and procedures of arrest, detention, petition, summons, records, and adjudication of the juvenile offender.  It introduces the organization and function of the police juvenile unit, community diversion practices and organization of the Family court.",3,Administration of Justice,141565,Offered With: Hawaiʻi Community College; Prerequisites: placement in ENG 100
AJ,220,Constitutional Law,"The U.S. Constitution is examined as a basis of arrest, search, seizure, interrogation, use of force and civil rights.  U.S. Supreme Court cases and Hawaiʻi Court cases are examined to illustrate the court's interpretive process.",3,Administration of Justice,141565,course_name: Constitutional Law; course_number: AJ 220; offered_with: Hawaiʻi Community College; prerequisites: AJ 101
AJ,221,Criminal Law,"Studies history and philosophy of criminal law. Examines United States Constitution, especially the Bill of Rights. Considers nature of law, legal institutions, criminal court procedures, and offenses against persons and property. Includes case briefs.",3,Administration of Justice,141565,Offered with: Hawaiʻi Community College; Prerequisites: AJ 101
